4 6 22 6 0 16 2
4 6 22 6 1 16 2
0 0 8 2 2 8 3
0 0 8 2 2 10 3
0 0 8 2 5 10 6
0 0 8 2 5 10 4
0 0 0 0 0 0 0
0 0 0 0 1 0 0
0 0 0 0 0 1 0
0 0 0 0 0 0 1
0 0 100 100 0 0 0
0 0 100 100 1 0 0
0 0 100 100 0 1 0
0 0 100 100 0 0 1
100 100 0 0 0 0 0
100 100 0 0 1 0 0
100 100 0 0 0 1 0
100 100 0 0 0 0 1
100 100 100 100 100 100 100
100 100 100 100 0 50 50
100 100 100 100 50 0 0
100 100 100 100 0 50 0
100 100 100 100 0 0 50
100 100 100 100 50 50 26
100 100 100 100 50 50 24
10 10 10 10 0 0 0
10 10 10 10 10 0 0
10 10 10 10 10 4 10
10 10 10 10 10 6 10
10 10 10 10 10 5 10
10 10 10 10 0 4 10
100 100 0 0 50 3 3
0 10 20 30 40 50 60
60 50 40 30 20 10 0
0 60 40 30 20 10 5
50 50 50 50 0 0 0
50 50 50 50 100 100 100
