40 51 96 84 82 47 81 88
54 65 31 12 45 10 97 36
69 62 13 96 80 37 2 15
25 86 27 64 53 50 20 93
1 68 29 36 16 10 76 70
27 7 34 72 69 83 9 39
45 74 87 77 63 90 45 88
28 72 4 33 74 77 78 28
45 7 16 13 18 92 84 45
52 18 70 21 2 31 60 47
5 0 25 68 90 22 9 70
94 13 3 20 42 81 0 88
40 16 1 10 61 37 56 13
8 78 86 10 9 99 9 14
99 86 34 41 8 95 11 54
61 66 27 3 99 27 43 39
96 97 50 57 34 58 22 42
88 8 4 97 7 66 63 58
4 49 99 13 45 62 19 6
28 46 9 79 26 53 71 22
2 73 31 36 83 53 31 71
13 87 68 21 53 83 79 58
32 31 23 77 93 94 83 74
93 45 53 19 50 76 93 52
49 24 88 32 29 71 55 42
59 23 63 64 6 95 22 91
26 97 68 71 92 52 45 85
49 51 4 99 27 49 51 29
73 91 13 2 63 69 96 74
44 12 38 3 7 13 94 85
10 62 8 2 66 54 87 15
57 43 66 84 92 17 65 17
61 79 71 76 48 68 50 44
80 88 47 39 1 41 76 64
56 84 66 74 90 6 90 47
49 8 84 94 78 49 63 39
28 35 15 28 3 17 73 35
57 72 26 11 66 2 75 22
38 93 96 29 99 38 76 1
47 60 47 77 10 10 16 90
45 83 71 0 0 96 87 9
68 13 20 34 67 47 8 6
41 57 35 92 47 63 93 46
24 40 23 86 3 39 28 48
74 99 1 26 95 88 36 16
54 8 2 21 8 11 27 49
20 14 41 67 78 87 14 54
79 89 92 82 81 20 83 55
72 84 34 19 72 22 35 26
30 38 0 38 1 79 39 21
94 33 88 24 20 54 30 51
44 22 34 25 94 69 32 18
53 66 38 77 88 73 56 71
63 56 61 64 35 1 85 81
34 26 57 6 80 87 9 76
61 43 53 8 64 86 26 17
4 64 95 45 90 3 16 53
59 77 18 46 30 3 80 16
29 37 74 62 77 84 38 38
79 44 46 44 82 25 61 86
41 8 31 31 11 99 37 22
77 7 69 59 62 1 76 44
38 50 6 15 34 96 6 66
40 52 10 22 29 23 61 71
32 44 54 95 44 43 18 73
50 39 32 13 40 8 57 30
11 15 98 97 63 4 63 4
8 73 78 38 49 91 9 81
36 15 76 80 59 46 53 9
85 85 74 77 46 83 8 9
98 58 6 62 62 70 18 70
95 48 8 44 40 69 77 28
37 6 8 96 52 13 57 90
50 32 67 48 67 27 57 66
85 64 80 99 86 50 70 81
98 30 78 90 0 55 18 37
61 78 85 14 43 42 56 46
26 75 94 94 55 52 12 92
68 44 92 54 94 62 87 44
92 65 35 44 21 5 33 34
36 18 0 31 13 56 77 39
32 72 85 87 76 97 31 44
93 23 98 87 37 85 32 82
3 19 26 24 24 60 10 12
30 11 44 43 67 73 35 51
45 20 90 73 70 22 17 63
45 67 3 83 53 35 65 56
54 43 32 30 55 42 43 86
5 39 81 73 12 16 76 10
89 67 83 59 89 1 74 34
20 77 69 73 12 86 81 18
30 65 49 37 60 44 23 65
35 57 38 99 73 15 61 62
34 45 73 23 98 48 9 18
77 79 44 42 17 77 60 47
43 61 37 3 57 12 68 92
69 59 44 43 26 5 57 60
50 31 35 0 31 44 71 8
23 15 50 93 92 63 92 35
76 29 90 34 42 11 78 11
70 22 6 48 28 64 60 30
47 95 83 78 39 54 38 15
69 41 8 13 56 0 49 32
30 91 66 24 2 45 87 24
19 94 24 99 10 84 30 57
79 13 87 71 19 25 38 88
18 46 1 74 98 2 7 80
46 73 56 48 70 44 25 90
38 49 89 48 34 71 5 65
36 44 88 55 69 26 95 88
24 49 62 75 3 21 55 49
47 12 50 17 56 75 59 46
24 1 94 10 24 51 28 61
95 16 68 16 95 16 56 19
65 71 94 68 92 2 18 39
66 20 9 74 95 68 20 71
21 66 34 46 69 62 59 16
30 27 32 25 95 41 97 60
12 43 81 4 45 51 96 63
71 5 37 66 25 9 89 99
27 23 45 48 37 56 64 68
35 49 45 31 90 42 91 2
38 72 58 35 23 6 99 94
63 88 12 89 50 2 40 77
77 85 78 15 41 42 35 28
43 32 59 33 27 51 87 65
75 98 0 99 4 51 45 68
40 10 9 90 64 49 19 41
86 97 8 79 40 95 7 35
28 67 69 55 70 8 72 45
58 72 96 63 24 94 83 16
4 44 6 68 93 25 61 31
75 70 10 67 17 17 2 45
36 23 52 6 32 24 4 90
49 0 5 25 46 88 41 50
32 99 70 77 76 32 8 51
54 18 18 71 88 21 69 76
96 21 83 28 98 39 71 99
39 76 24 86 17 17 88 1
68 59 79 44 43 39 48 97
10 66 20 98 39 89 74 36
63 9 16 13 48 39 64 40
16 40 78 85 57 66 86 25
77 17 21 20 57 69 69 67
88 90 17 79 31 43 67 46
5 84 59 53 23 75 45 91
15 23 76 72 42 15 49 19
32 23 92 41 92 61 60 32
3 77 12 35 73 79 33 78
15 45 83 91 20 29 82 36
4 11 60 46 78 10 66 10
85 10 4 77 71 64 10 75
94 74 62 19 53 95 97 69
40 32 60 13 61 94 49 66
57 9 64 35 71 82 46 56
92 2 86 64 18 48 91 12
22 5 31 75 52 80 96 45
65 8 58 26 3 7 44 60
68 9 96 40 43 94 48 36
96 34 52 14 82 95 79 4
0 62 32 4 95 28 49 60
37 7 38 92 66 35 52 35
96 0 27 39 94 75 75 42
62 27 9 44 74 40 1 74
2 33 79 49 13 80 9 2
88 0 94 6 35 99 41 31
99 20 70 46 96 98 40 10
77 1 54 52 41 7 78 96
92 9 45 6 90 7 8 78
7 55 84 94 54 78 25 5
98 47 51 46 97 44 56 75
45 63 79 87 22 57 83 15
67 28 73 57 87 33 87 94
88 23 40 94 53 17 0 4
65 51 2 14 95 11 41 93
26 20 80 48 30 63 15 97
43 40 6 31 74 45 77 14
20 70 9 26 87 9 30 4
12 32 19 60 95 60 53 21
81 33 70 11 48 37 60 43
78 18 26 52 15 56 18 87
26 27 13 13 88 43 18 1
28 37 13 23 49 66 45 30
51 67 93 51 4 5 46 34
75 73 86 42 81 57 30 7
84 43 72 73 39 42 26 19
31 39 94 81 57 91 63 60
58 9 63 15 14 9 49 42
34 88 36 15 45 66 74 81
62 47 6 53 89 84 72 21
23 18 54 32 10 17 44 20
26 7 35 93 69 37 87 3
77 23 71 74 90 45 55 4
92 14 57 34 98 81 7 74
99 61 58 9 78 3 82 57
62 17 50 31 6 37 87 83
60 58 9 2 3 17 6 48
31 63 34 29 96 41 55 48
54 14 9 84 17 91 41 79
9 91 63 67 80 50 3 41
60 12 95 15 29 2 15 12
17 49 94 14 42 49 14 48
63 23 33 32 15 74 12 76
18 27 43 98 29 98 91 41
63 87 56 92 41 72 57 58
73 51 24 68 0 38 16 16
62 49 48 77 76 12 5 94
39 48 44 20 47 88 61 10
27 18 54 68 42 63 78 15
66 3 35 19 93 52 35 7
53 83 36 29 48 41 75 39
42 72 60 41 60 21 51 87
91 57 7 85 73 85 53 39
40 88 58 34 40 93 93 94
29 30 75 29 71 3 68 13
75 28 54 35 2 57 74 45
67 81 31 92 18 84 31 59
24 90 93 65 35 86 11 16
68 38 45 40 41 14 5 16
94 12 3 48 21 29 94 40
10 77 32 29 13 64 40 37
6 33 54 93 71 65 62 92
4 7 32 45 73 89 14 20
53 17 20 75 47 14 15 9
43 48 90 56 64 30 94 22
15 48 15 39 66 77 31 22
37 15 67 62 4 81 34 10
51 55 85 50 21 52 59 65
52 2 21 16 32 67 38 0
68 6 39 86 83 70 8 72
37 27 87 93 9 21 3 12
76 88 62 98 93 73 63 45
75 36 14 8 56 4 60 76
10 99 62 46 21 70 18 58
97 5 51 58 79 55 70 55
95 84 5 88 58 20 86 33
57 52 93 65 56 53 41 67
4 3 65 25 25 35 35 74
41 87 33 20 94 55 27 41
92 33 82 50 53 68 35 62
20 29 27 28 34 20 47 39
75 12 64 52 48 52 27 41
39 12 13 85 19 40 26 11
25 8 13 31 28 49 45 0
78 25 29 64 45 76 3 21
89 20 73 89 72 52 30 63
64 43 48 84 35 26 47 61
87 61 44 15 10 89 16 40
14 97 4 60 73 60 33 14
32 58 3 4 63 33 19 27
76 19 63 12 45 11 25 32
24 69 0 34 58 16 26 25
65 82 37 38 42 70 53 74
80 8 30 43 42 1 23 70
20 38 34 18 1 59 2 25
80 2 11 91 70 89 16 87
72 53 26 66 75 31 93 7
91 23 51 33 77 26 56 49
16 42 67 18 2 22 95 34
76 59 25 99 48 41 86 20
46 64 87 21 95 80 29 87
55 32 72 84 10 80 34 26
23 53 96 77 75 44 11 4
3 89 3 3 30 41 76 29
6 15 50 53 47 31 92 2
